mention_a_id	mention_b_id	mention_a	mention_b	sim
61620_200411-424663-04	41521_200209-140491-02	the slaves	other victims of our colonial past	0.50984305
61620_200411-424663-04	51110_201912-248386-02	the slaves	the Salvadoran people	0.50023603
61620_200411-424663-04	41320_201309-157295-02	the slaves	the servants	0.65435934
61620_200411-424663-04	41112_199012-126991-02	the slaves	the people in the South	0.5099579
61620_200411-424663-04	41112_199012-126986-04	the slaves	the people of Sudan	0.48218414
61620_200411-424663-04	41113_202109-175240-02	the slaves	the communes	0.4582407
61620_200411-424663-04	41521_201309-159878-02	the slaves	the local elites in the South	0.45661664
61620_200411-424663-04	13951_198709-183723-02	the slaves	the villagers	0.45734552
61620_200411-424663-04	64110_201409-354445-02	the slaves	the Venezuelan people	0.45471835
61620_200411-424663-04	92436_200710-361697-01	the slaves	the interned	0.5935044
61620_200411-424663-04	13229_201906-194412-01	the slaves	the wealth creators	0.45720005
61620_200411-424663-04	14820_201904-205722-01	the slaves	the enemies of freedom	0.48434627
61620_200411-424663-04	13730_201906-195727-01	the slaves	victims of Communism	0.47778535
61620_200411-424663-04	42110_201309-16743-01	the slaves	the historically settled peoples	0.46331853
21111_200706-62315-01	64110_199911-352083-01	thieves	outsiders	0.47739547
21111_200706-62315-01	31720_200706-213188-02	thieves	peasants	0.48734134
21111_200706-62315-01	51951_200106-233483-03	thieves	-time criminals	0.47801208
21111_200706-62315-01	61320_201611-431170-05	thieves	hostages	0.51036876
21111_200706-62315-01	14820_201504-203644-02	thieves	Borrowers	0.49508673
21111_200706-62315-01	12951_200909-340638-02	thieves	Crime Commissioners	0.45309308
21111_200706-62315-01	21112_200706-63532-02	thieves	Dealers	0.50056565
21111_200706-62315-01	21112_198712-29417-02	thieves	the attackers	0.4564157
21111_200706-62315-01	23113_199906-296433-02	thieves	Fraudsters	0.5138499
21111_200706-62315-01	171101_201506-308944-02	thieves	the Crime Fighters	0.5598531
21111_200706-62315-01	41521_201309-160275-02	thieves	The generation in crime	0.45711172
21111_200706-62315-01	51320_201505-240401-01	thieves	traitors	0.5440405
21111_200706-62315-01	51320_200505-234261-01	thieves	unauthorized persons	0.48090336
21111_200706-62315-01	80710_201305-94428-01	thieves	merchants	0.46870732
21111_200706-62315-01	22110_201006-323903-01	thieves	criminals who use guns	0.47677213
21111_200706-62315-01	31720_200706-214180-01	thieves	those convicted of knife crime	0.46074462
21111_200706-62315-01	21914_200706-68103-01	thieves	bandits	0.50216925
21111_200706-62315-01	96710_200606-379669-01	thieves	house burglars	0.47263396
21111_200706-62315-01	83110_201103-196759-01	thieves	collectors	0.45590517
21111_200706-62315-01	86710_201004-266185-01	thieves	commandos	0.5082064
21111_200706-62315-01	41953_201709-170246-01	thieves	hackers	0.5354752
21111_200706-62315-01	64110_201709-357816-03	thieves	the hardened criminals	0.49255812
21111_200706-62315-01	22110_201006-323987-01	thieves	streets	0.47033316
61320_200411-423160-01	51951_201706-247381-01	sick and young people	Sick workers	0.62813324
61320_200411-423160-01	22722_200611-322724-01	sick and young people	third-age people	0.5035836
61320_200411-423160-01	171101_200306-303069-02	sick and young people	people of advanced age	0.4595288
61320_200411-423160-01	14820_201104-201517-02	sick and young people	People who become ill as a result of environmental pollution	0.47868735
61320_200411-423160-01	92436_201510-368216-02	sick and young people	Seriously ill people	0.58494747
61320_200411-423160-01	14820_201104-201437-02	sick and young people	Students who feel bad or are ill	0.49159992
61320_200411-423160-01	64110_201709-358844-01	sick and young people	unaccompanied young people	0.59472716
61320_200411-423160-01	22730_201703-328226-01	sick and young people	sick children	0.726381
61320_200411-423160-01	12110_201709-347582-01	sick and young people	young people in their transition to adulthood	0.48710072
62110_200810-96660-01	41113_201709-163470-01	the small consumers	electricity consumers	0.5453842
62110_200810-96660-01	14820_201504-203228-02	the small consumers	European consumers	0.572971
62110_200810-96660-01	41113_200209-137554-02	the small consumers	critical consumers	0.6202403
62110_200810-96660-01	41113_201309-153626-02	the small consumers	Norwegian consumers	0.5388454
62110_200810-96660-01	61620_200411-425360-02	the small consumers	Polish consumers	0.5019958
62110_200810-96660-01	51620_201005-237555-03	the small consumers	people with little savings	0.5106947
62110_200810-96660-01	21914_199906-51820-02	the small consumers	Prominent consumer advocates	0.57568204
62110_200810-96660-01	43810_200310-101466-02	the small consumers	Small	0.53297544
62110_200810-96660-01	51620_199705-230035-01	the small consumers	those who produce	0.45406187
62110_200810-96660-01	13951_197501-181774-01	the small consumers	the large owners	0.4718951
62110_200810-96660-01	80710_201305-94428-01	the small consumers	merchants	0.5074498
62110_200810-96660-01	42110_200211-10601-01	the small consumers	non-rural buyers	0.45306396
62110_200810-96660-01	92712_199110-359840-01	the small consumers	consumers of health care	0.5168229
62110_200810-96660-01	21111_200706-59747-02	the small consumers	older customers	0.4581383
62110_200810-96660-01	92436_201510-368717-01	the small consumers	the smallest	0.504208
62110_200810-96660-01	42420_200610-13501-01	the small consumers	representatives from consumer and environmental associations	0.4628916
34710_201205-254377-02	21112_201405-83041-03	the small user	internet users	0.5060684
34710_201205-254377-02	64110_201409-356220-02	the small user	the space users	0.5050826
34710_201205-254377-02	51620_201005-237555-03	the small user	people with little savings	0.4841907
34710_201205-254377-02	43810_200310-101466-02	the small user	Small	0.66153646
34710_201205-254377-02	23113_199906-296380-03	the small user	users	0.615805
34710_201205-254377-02	13951_197501-181774-01	the small user	the large owners	0.49096435
34710_201205-254377-02	41113_199809-134090-01	the small user	user groups	0.49429566
34710_201205-254377-02	41320_202109-175910-01	the small user	the end-user	0.49007633
34710_201205-254377-02	41953_202109-180604-01	the small user	less mobile people	0.49529186
34710_201205-254377-02	92436_201510-368717-01	the small user	the smallest	0.5951053
34710_201205-254377-02	42710_200809-15017-03	the small user	people at the social minimum	0.4583391
34710_201205-254377-02	62110_200810-96660-01	the small user	the small consumers	0.64014876
51320_197905-222024-01	86710_201404-272751-02	the smartest minds	intellectuals	0.5371673
51320_197905-222024-01	21112_201905-91728-02	the smartest minds	The mentally retarded	0.50600696
51320_197905-222024-01	61320_201211-429088-03	the smartest minds	thinkers	0.5402919
51320_197905-222024-01	51110_201912-248028-01	the smartest minds	intelligence personnel	0.51166314
51320_197905-222024-01	42420_200211-12376-01	the smartest minds	a child-minder	0.46992123
51320_197905-222024-01	63110_201008-01016-01	the smartest minds	the brightest and best	0.5376325
51320_200505-234387-03	21112_200706-65267-01	smiling employees in care	precarious employees	0.45726937
51320_200505-234387-03	51320_200505-234177-04	smiling employees in care	staff in maternity care	0.47940624
61620_198411-413295-02	64110_201409-355437-02	women in our society	a two- or three-class society	0.46413332
61620_198411-413295-02	21112_200706-64508-02	women in our society	the woman	0.5448638
61620_198411-413295-02	23112_198906-292869-04	women in our society	WOMEN IN AUSTRALIA	0.55870414
61620_198411-413295-02	92436_201510-367389-03	women in our society	white women	0.5857445
61620_198411-413295-02	41953_201709-170771-03	women in our society	British society	0.49637565
61620_198411-413295-02	42420_199410-08012-03	women in our society	The Dutch society	0.45442414
61620_198411-413295-02	41320_201709-166852-02	women in our society	women in the East and the West	0.56002945
61620_198411-413295-02	11620_201409-398170-02	women in our society	prostitutes	0.46099043
61620_198411-413295-02	61620_197211-403475-02	women in our society	gentlemen	0.47534862
61620_198411-413295-02	21112_201006-78101-04	women in our society	the Mexican society	0.45810637
61620_198411-413295-02	82720_201310-117639-02	women in our society	Our liberal society	0.5383068
61620_198411-413295-02	41320_201309-157293-02	women in our society	Servicewomen	0.53860235
61620_198411-413295-02	41521_202109-178225-02	women in our society	The female population	0.61657083
61620_198411-413295-02	21112_201405-79338-03	women in our society	The male society	0.6792873
61620_198411-413295-02	23112_198906-294320-02	women in our society	the ordinary man and woman	0.45691442
61620_198411-413295-02	43810_201510-106282-01	women in our society	Women In Retirement	0.49703032
61620_198411-413295-02	64110_201409-355607-01	women in our society	affected women	0.58328044
61620_198411-413295-02	51320_201706-244393-01	women in our society	green women	0.51750714
61620_198411-413295-02	51320_201505-240260-01	women in our society	Women who have abortions	0.48745883
61620_198411-413295-02	11320_200209-393198-01	women in our society	the dual society	0.46521416
61620_198411-413295-02	21112_200305-53882-01	women in our society	the mass society	0.5320108
61620_198411-413295-02	21914_200706-68064-01	women in our society	our materialistic society	0.48690772
61620_198411-413295-02	80710_201305-93472-01	women in our society	a quality society	0.4773725
61620_198411-413295-02	82110_201005-116654-01	women in our society	a state society	0.48434275
61620_198411-413295-02	21111_201006-73871-01	women in our society	people on the margins of society as	0.48606777
61620_198411-413295-02	41320_201309-158993-01	women in our society	women in equal jobs to men	0.5675914
61620_198411-413295-02	13720_201906-195233-01	women in our society	women candidates	0.5212988
61620_198411-413295-02	51620_197006-219451-01	women in our society	free men and women, with faith in	0.45689234
61620_198411-413295-02	41113_200509-141137-02	women in our society	women in Britain and around the world	0.6313038
61620_198411-413295-02	62110_200810-97172-02	women in our society	the patriarchal society	0.6880187
61620_200411-424370-01	23112_198906-292612-01	the sponsors	Investors	0.49163496
61620_200411-424370-01	32720_201803-288750-01	the sponsors	Lobbyists	0.49265167
61620_200411-424370-01	21914_199906-49375-01	the sponsors	makers	0.47900105
61620_200411-424370-01	21111_200706-62468-02	the sponsors	hosts	0.46831548
61620_200411-424370-01	51951_201706-247239-02	the sponsors	stakeholders	0.45872003
61620_200411-424370-01	61320_201611-431080-02	the sponsors	the innovators	0.46499935
61620_200411-424370-01	81111_199004-254977-02	the sponsors	Billionaires	0.4965477
61620_200411-424370-01	21914_199906-49694-02	the sponsors	competitors	0.525526
61620_200411-424370-01	42110_201309-16732-02	the sponsors	Creators	0.48726296
61620_200411-424370-01	13720_200111-189358-02	the sponsors	crews	0.45702022
61620_200411-424370-01	41521_201309-161106-02	the sponsors	the drivers	0.46756
61620_200411-424370-01	61320_202011-434780-02	the sponsors	founders	0.4647154
61620_200411-424370-01	32720_200604-287431-02	the sponsors	millionaires	0.47257894
61620_200411-424370-01	86110_201004-263789-02	the sponsors	opponents	0.45513105
61620_200411-424370-01	41521_202109-179191-02	the sponsors	Organizers	0.5598959
61620_200411-424370-01	22110_200205-318821-02	the sponsors	the others	0.4679237
61620_200411-424370-01	51620_197410-221715-02	the sponsors	they	0.4768558
61620_200411-424370-01	21111_199111-31049-02	the sponsors	advocates	0.4557907
61620_200411-424370-01	11710_201009-396525-02	the sponsors	our creatives	0.45565844
61620_200411-424370-01	51320_200106-232024-03	the sponsors	the signatories	0.48043707
61620_200411-424370-01	61320_198011-407753-01	the sponsors	audiences	0.45585877
61620_200411-424370-01	13951_197501-181774-01	the sponsors	the large owners	0.51313883
61620_200411-424370-01	51320_201005-235838-01	the sponsors	the interested parties	0.46482515
61620_200411-424370-01	13229_199803-187840-01	the sponsors	the recipients of subsidies	0.53746086
61620_200411-424370-01	21112_198510-27089-01	the sponsors	the players	0.5138965
61620_200411-424370-01	41113_201709-164566-01	the sponsors	corporations	0.48688596
61620_200411-424370-01	22110_201703-327653-01	the sponsors	the designers	0.52849054
61620_200411-424370-01	42420_199010-06340-01	the sponsors	holders	0.4805746
61620_200411-424370-01	22110_201006-323954-01	the sponsors	promoters	0.4861881
61620_200411-424370-01	41521_198303-123107-01	the sponsors	participations	0.5105765
61620_200411-424370-01	61620_200811-427457-02	the sponsors	the project authors	0.4661356
61620_200411-424370-01	61620_200411-424722-02	the sponsors	spectators	0.53743285
61620_198411-412486-01	22110_200205-317387-01	sports doctors	(tand) doctors	0.5155467
61620_198411-412486-01	21914_199906-51560-01	sports doctors	multi-professional teams	0.49413577
61620_198411-412486-01	61320_202011-434368-02	sports doctors	injured persons	0.45274183
61620_198411-412486-01	21111_199111-33071-01	sports doctors	actors in the field	0.45389938
61620_198411-412486-01	14110_200703-198964-03	sports doctors	Flemish athletes	0.45581657
61620_198411-412486-01	51110_201505-238781-02	sports doctors	the persons exercising the profession	0.5224471
61620_198411-412486-01	12110_201709-346358-02	sports doctors	physiotherapists	0.58687544
61620_198411-412486-01	21112_200305-54218-02	sports doctors	Polish doctors	0.5170746
61620_198411-412486-01	51951_201505-242749-01	sports doctors	medical educators	0.6313693
61620_198411-412486-01	41320_200909-149043-01	sports doctors	the best doctors	0.6295364
61620_198411-412486-01	61320_200011-420085-01	sports doctors	occupational doctors	0.62747246
61620_198411-412486-01	34710_200709-253222-02	sports doctors	successful athletes in the international arena	0.49775937
61320_201611-431282-02	41521_201309-160309-01	teachers who are not teaching well	tutor	0.4808275
61320_201611-431282-02	21112_198510-27408-03	teachers who are not teaching well	Bulgarian Teachers	0.5181916
61320_201611-431282-02	41113_201309-152617-02	teachers who are not teaching well	educational scientists	0.46641183
61320_201611-431282-02	61620_198811-413549-03	teachers who are not teaching well	teachers from abroad	0.557952
61320_201611-431282-02	31110_201206-217333-03	teachers who are not teaching well	religious teachers	0.62014467
61320_201611-431282-02	21112_201405-78519-02	teachers who are not teaching well	School directors	0.46080524
61320_201611-431282-02	14820_201104-201437-02	teachers who are not teaching well	Students who feel bad or are ill	0.45776674
61320_201611-431282-02	41113_202109-173103-03	teachers who are not teaching well	teachers with experience	0.6380274
61320_201611-431282-02	51320_198306-223744-03	teachers who are not teaching well	The ministers of education	0.47875604
61320_201611-431282-02	51320_200106-231332-01	teachers who are not teaching well	those who face particular difficulties	0.45555872
61320_201611-431282-02	51320_201706-244219-01	teachers who are not teaching well	troubled students	0.4684053
61320_201611-431282-02	51620_201005-237345-02	teachers who are not teaching well	second language teachers	0.58627284
61320_201611-431282-02	51620_199204-227533-01	teachers who are not teaching well	guest teachers	0.59194446
61320_201611-431282-02	21914_200706-71274-01	teachers who are not teaching well	disruptive students	0.4701352
61320_201611-431282-02	42420_200809-14862-01	teachers who are not teaching well	people involved in the educational process	0.47175902
61320_201611-431282-02	51951_201505-242749-01	teachers who are not teaching well	medical educators	0.46435845
61320_201611-431282-02	41320_202109-175911-01	teachers who are not teaching well	the participants in education	0.51451963
61320_201611-431282-02	14820_201104-200653-01	teachers who are not teaching well	students in the folk school	0.48354715
61320_201611-431282-02	55110_201105-111274-01	teachers who are not teaching well	homosexual teachers	0.55141747
61320_201611-431282-02	61620_200011-422046-01	teachers who are not teaching well	lecturers	0.56097746
61320_201611-431282-02	63110_201905-03229-03	teachers who are not teaching well	math and science teachers	0.56195015
61320_201611-431282-02	61320_201611-431016-01	teachers who are not teaching well	pupils who develop in an academic direction	0.50138617
61320_201611-431282-02	35120_201910-375669-04	teachers who are not teaching well	rectors	0.45836872
61320_201611-431305-02	86710_201404-270639-01	students who complete their studies with passed exams at normated time or shorter	backward students	0.49563944
61320_201611-431305-02	14110_200303-198444-01	students who complete their studies with passed exams at normated time or shorter	the deserving students	0.45491296
61320_201611-431305-02	41320_202109-175911-01	students who complete their studies with passed exams at normated time or shorter	the participants in education	0.50346446
61320_201611-431305-02	61620_200411-424858-02	students who complete their studies with passed exams at normated time or shorter	postgraduate students	0.46736836
61320_201611-431305-02	61620_200411-425566-03	students who complete their studies with passed exams at normated time or shorter	pupils studying the core academic subjects at GCSE	0.51023674
61320_201611-431305-02	61320_201611-431016-01	students who complete their studies with passed exams at normated time or shorter	pupils who develop in an academic direction	0.46589965
61620_197611-405657-02	12951_200509-337626-01	violent students	ninth-grade students	0.5435626
61620_197611-405657-02	21112_198712-29417-02	violent students	the attackers	0.49134684
61620_197611-405657-02	41320_201709-166822-02	violent students	people who live in homes where relationships of interfamily violence are given	0.5215336
61620_197611-405657-02	82110_201005-116709-02	violent students	Native students	0.4810568
61620_197611-405657-02	12951_201709-349870-02	violent students	safe children	0.47125435
61620_197611-405657-02	23113_201310-300678-04	violent students	Schools	0.53093565
61620_197611-405657-02	21914_200305-55600-02	violent students	Students under Reform 94	0.53444296
61620_197611-405657-02	14820_201104-201437-02	violent students	Students who feel bad or are ill	0.5782132
61620_197611-405657-02	171101_201506-308944-02	violent students	the Crime Fighters	0.5319153
61620_197611-405657-02	42110_199010-05414-03	violent students	Those who are expelled	0.5079118
61620_197611-405657-02	51320_201706-244219-01	violent students	troubled students	0.7736385
61620_197611-405657-02	21112_199505-36949-01	violent students	Young people who come into contact with justice	0.47135973
61620_197611-405657-02	11320_201809-400136-01	violent students	abusive families	0.4539746
61620_197611-405657-02	21914_200706-71274-01	violent students	disruptive students	0.66490376
61620_197611-405657-02	11620_199109-391188-01	violent students	those who are threatened	0.49415925
61620_197611-405657-02	22110_201006-323903-01	violent students	criminals who use guns	0.46832657
61620_197611-405657-02	86710_201404-270639-01	violent students	backward students	0.57580566
61620_197611-405657-02	41521_199410-131870-01	violent students	children to escape their failing schools	0.46399724
61620_197611-405657-02	31720_200206-210726-01	violent students	the class	0.45188248
61620_197611-405657-02	97330_201112-387729-01	violent students	protesters	0.48052868
61620_197611-405657-02	14110_200303-198444-01	violent students	the deserving students	0.58023155
61620_197611-405657-02	21112_199505-36478-01	violent students	their peers	0.4679591
61620_197611-405657-02	41320_202109-175911-01	violent students	the participants in education	0.45662302
61620_197611-405657-02	14820_201104-200653-01	violent students	students in the folk school	0.5069109
61620_197611-405657-02	22110_200205-318594-01	violent students	peaceful citizens	0.45491588
61620_197611-405657-02	11110_201409-396791-01	violent students	victims of repression	0.4645688
61620_197611-405657-02	61620_200411-424858-02	violent students	postgraduate students	0.45664078
61320_201611-431313-02	21914_200706-71274-01	students with lags	disruptive students	0.5591694
61320_201611-431313-02	86710_201404-270639-01	students with lags	backward students	0.4542752
61320_201611-431313-02	14820_201104-200653-01	students with lags	students in the folk school	0.45645922
61320_201611-431313-02	61320_201611-431016-01	students with lags	pupils who develop in an academic direction	0.45573246
34512_199310-250933-01	61620_201211-430722-01	the superiors	Equality officers	0.4589533
34512_199310-250933-01	21111_200706-58010-01	the superiors	The rulers	0.5488814
34512_199310-250933-01	31720_200706-215921-01	the superiors	the delegations	0.4970798
34512_199310-250933-01	42110_201710-18415-02	the superiors	marshals	0.4634086
34512_199310-250933-01	22110_201006-323728-02	the superiors	the members of the Bundeswehr	0.48179716
34512_199310-250933-01	41521_202109-178517-04	the superiors	combatants	0.4556758
34512_199310-250933-01	21112_198712-29417-02	the superiors	the attackers	0.4637225
34512_199310-250933-01	21914_200305-56094-02	the superiors	dictators	0.47682494
34512_199310-250933-01	61320_202011-434020-02	the superiors	GENERALS	0.5902995
34512_199310-250933-01	21112_201006-77079-02	the superiors	The guardians	0.46976668
34512_199310-250933-01	42110_200809-14114-02	the superiors	Secretaries of State	0.4606929
34512_199310-250933-01	41320_201309-157295-02	the superiors	the servants	0.49472013
34512_199310-250933-01	13951_198112-183247-02	the superiors	The Men and Women of Defense	0.50868034
34512_199310-250933-01	22110_201209-324990-03	the superiors	The finest servicemen and women	0.5212935
34512_199310-250933-01	51951_201706-247315-03	the superiors	the work force	0.45707572
34512_199310-250933-01	51620_200505-235203-01	the superiors	the mandate holders	0.460626
34512_199310-250933-01	51620_199204-227530-01	the superiors	Tyrants	0.46582034
34512_199310-250933-01	64110_201409-352947-01	the superiors	the captain	0.5188351
34512_199310-250933-01	42110_200610-12978-01	the superiors	governed	0.45939162
34512_199310-250933-01	92436_200710-361697-01	the superiors	the interned	0.5475603
34512_199310-250933-01	92436_201110-364900-01	the superiors	their associates	0.4676921
34512_199310-250933-01	92436_201110-365176-01	the superiors	their colleagues	0.46028465
34512_199310-250933-01	86421_199805-257723-01	the superiors	the guerrillas	0.48286736
34512_199310-250933-01	82710_200206-113273-01	the superiors	subordinates	0.609461
34512_199310-250933-01	35130_201910-376413-01	the superiors	factions	0.45470136
34512_199310-250933-01	41113_201309-155803-01	the superiors	the heirs	0.45661858
34512_199310-250933-01	11620_199109-391248-01	the superiors	the successors	0.5922892
34512_199310-250933-01	23112_198406-290807-01	the superiors	leaders in the region	0.47427288
34512_199310-250933-01	63110_201008-01248-02	the superiors	the special forces	0.48508418
34512_199310-250933-01	63110_201607-02910-01	the superiors	our ranks	0.58236814
34512_199310-250933-01	12110_201709-347103-01	the superiors	the peace army personnel	0.5023723
61620_197211-404194-03	22110_200205-317387-01	surgeon	(tand) doctors	0.4942677
61620_197211-404194-03	61320_202011-434368-02	surgeon	injured persons	0.45455766
61620_197211-404194-03	23113_201310-300873-02	surgeon	Cancer patients	0.46092576
61620_197211-404194-03	41320_200909-148761-02	surgeon	dentists	0.5607622
61620_197211-404194-03	61320_202011-434020-02	surgeon	GENERALS	0.4582855
61620_197211-404194-03	21112_200305-54218-02	surgeon	Polish doctors	0.5094857
61620_197211-404194-03	41113_202109-173887-02	surgeon	the glass patient	0.45900968
61620_197211-404194-03	23112_198906-293690-02	surgeon	veterinarians	0.4877802
61620_197211-404194-03	15111_201610-280755-01	surgeon	the murderer	0.4935385
61620_197211-404194-03	51951_201505-242749-01	surgeon	medical educators	0.52572435
61620_197211-404194-03	21111_198111-23280-01	surgeon	examiners	0.48960155
61620_197211-404194-03	41320_200909-149043-01	surgeon	the best doctors	0.60229915
61620_197211-404194-03	61320_200011-420085-01	surgeon	occupational doctors	0.5255415
61620_197211-404194-03	12951_200109-334948-01	surgeon	operation	0.5049763
61620_197211-404194-03	61620_198411-412486-01	surgeon	sports doctors	0.57529974
41113_201709-164266-04	21112_201006-77079-02	the survivor	The guardians	0.455404
41113_201709-164266-04	12951_201309-343770-02	the survivor	The survivors	0.7164489
41113_201709-164266-04	86710_201404-271911-01	the survivor	the protagonists	0.53059494
41113_201709-164266-04	41320_200509-143295-01	the survivor	survivors and their families	0.53354484
31720_200706-212821-01	21914_199906-51560-01	the team	multi-professional teams	0.53412914
31720_200706-212821-01	13720_200111-189358-02	the team	crews	0.45536518
31720_200706-212821-01	21112_198712-29417-02	the team	the attackers	0.47683638
31720_200706-212821-01	86110_201004-263789-02	the team	opponents	0.5998278
31720_200706-212821-01	71110_201212-289922-02	the team	our	0.49807507
31720_200706-212821-01	51320_201912-249760-02	the team	Patriots	0.50778306
31720_200706-212821-01	61320_202011-434195-03	the team	the shooters	0.4696833
31720_200706-212821-01	62110_200810-95639-02	the team	the losers	0.49974933
31720_200706-212821-01	64110_201409-352947-01	the team	the captain	0.5314238
31720_200706-212821-01	21112_198510-27089-01	the team	the players	0.7163918
31720_200706-212821-01	51620_200106-232586-01	the team	champions	0.508974
31720_200706-212821-01	86710_201404-271911-01	the team	the protagonists	0.4580102
31720_200706-212821-01	92436_201110-365176-01	the team	their colleagues	0.47714883
31720_200706-212821-01	86110_201004-261499-01	the team	each other	0.45762205
31720_200706-212821-01	23113_200406-298661-01	the team	rangers	0.47307926
31720_200706-212821-01	63110_200410-00211-01	the team	the Saints	0.53315187
31720_200706-212821-01	61620_200411-424370-01	the team	the sponsors	0.55409914
31110_200706-211540-02	21914_199906-50173-02	workers in the telecommunications industry	Flex workers	0.4660594
31110_200706-211540-02	22110_199405-313749-01	workers in the telecommunications industry	white and blue-collar workers	0.49956876
31110_200706-211540-02	64110_201409-356406-01	workers in the telecommunications industry	striking workers	0.51530844
31110_200706-211540-02	51951_201706-247381-01	workers in the telecommunications industry	Sick workers	0.4633476
31110_200706-211540-02	86110_201404-268377-02	workers in the telecommunications industry	street corner workers	0.4699297
31110_200706-211540-02	21112_201405-78293-02	workers in the telecommunications industry	Employment society	0.4574327
31110_200706-211540-02	86110_201804-273718-02	workers in the telecommunications industry	Field workers	0.5753499
31110_200706-211540-02	61320_202011-433870-02	workers in the telecommunications industry	freelancers	0.5349202
31110_200706-211540-02	61620_198411-412994-02	workers in the telecommunications industry	JOBS	0.5353245
31110_200706-211540-02	21111_201006-75206-02	workers in the telecommunications industry	jobseekers	0.6062226
31110_200706-211540-02	42420_201710-19583-04	workers in the telecommunications industry	forced workers	0.48288524
31110_200706-211540-02	64110_201409-354303-01	workers in the telecommunications industry	Network managers	0.499307
31110_200706-211540-02	61620_198411-412272-02	workers in the telecommunications industry	essential workers	0.49409115
31110_200706-211540-02	21112_199906-45526-02	workers in the telecommunications industry	pregnant workers	0.47338104
31110_200706-211540-02	41320_201309-157293-02	workers in the telecommunications industry	Servicewomen	0.45444328
31110_200706-211540-02	41320_202109-176086-03	workers in the telecommunications industry	sex workers	0.529492
31110_200706-211540-02	22110_200205-318840-01	workers in the telecommunications industry	coal miners	0.54530096
31110_200706-211540-02	13229_201906-194515-01	workers in the telecommunications industry	mobile phone customers	0.51372784
31110_200706-211540-02	61620_197611-405478-01	workers in the telecommunications industry	permanent workers	0.49473977
31110_200706-211540-02	92436_201110-364900-01	workers in the telecommunications industry	their associates	0.46485987
31110_200706-211540-02	21914_200706-67435-01	workers in the telecommunications industry	the automotive workers	0.5574038
31110_200706-211540-02	23113_200406-298664-01	workers in the telecommunications industry	carpenters	0.4651476
31110_200706-211540-02	23113_200406-298289-01	workers in the telecommunications industry	other categories of workers	0.53369766
31110_200706-211540-02	92436_201110-365176-01	workers in the telecommunications industry	their colleagues	0.48147395
31110_200706-211540-02	41113_201709-164566-01	workers in the telecommunications industry	corporations	0.46543452
31110_200706-211540-02	11620_201409-398620-01	workers in the telecommunications industry	those working in defence industries	0.50688916
31110_200706-211540-02	21111_201006-75156-01	workers in the telecommunications industry	elected worker-directors	0.46533504
31110_200706-211540-02	11620_199109-391189-01	workers in the telecommunications industry	vulnerable workers	0.5025174
31110_200706-211540-02	42110_201309-17822-01	workers in the telecommunications industry	flexible workers	0.48103827
31110_200706-211540-02	21112_200706-64123-01	workers in the telecommunications industry	those people working in the gig economy	0.5894162
31110_200706-211540-02	61320_200011-420085-01	workers in the telecommunications industry	occupational doctors	0.4663357
31110_200706-211540-02	21111_200706-60762-01	workers in the telecommunications industry	people changing jobs	0.5524736
31110_200706-211540-02	61620_200411-425568-03	workers in the telecommunications industry	trade-affected workers	0.509122
21914_199906-49664-02	11710_201409-399302-02	the trapped	the detainee	0.5424274
21914_199906-49664-02	51320_201505-240438-01	the trapped	trappers	0.5648613
21914_199906-49664-02	15111_201610-280755-01	the trapped	the murderer	0.48781013
21914_199906-49664-02	43110_201510-105360-01	the trapped	the displaced	0.4870568
61620_200811-428235-01	21111_199111-32722-01	the Turkish and Moroccan residents	the Greek citizens	0.46297038
61620_200811-428235-01	34710_200709-253004-03	the Turkish and Moroccan residents	The Afghan people	0.4731906
61620_200811-428235-01	12951_199309-332244-02	the Turkish and Moroccan residents	the Cuban people	0.4699934
61620_200811-428235-01	171101_200907-306046-02	the Turkish and Moroccan residents	Kosovo Albanians	0.5324994
61620_200811-428235-01	51620_197402-220388-02	the Turkish and Moroccan residents	Luxembourg residents	0.45572346
61620_200811-428235-01	51320_197006-219052-03	the Turkish and Moroccan residents	the Armenian people	0.59704137
61620_200811-428235-01	11710_201409-399324-03	the Turkish and Moroccan residents	the Balkan Muslims	0.61518824
61620_200811-428235-01	21112_198510-27408-03	the Turkish and Moroccan residents	Bulgarian Teachers	0.4632839
61620_200811-428235-01	41320_200209-139027-02	the Turkish and Moroccan residents	the Bulgarian citizens	0.6503628
61620_200811-428235-01	86421_199805-257275-02	the Turkish and Moroccan residents	the Bulgarian consumer	0.46768147
61620_200811-428235-01	51620_198306-224193-02	the Turkish and Moroccan residents	Bulgarian entrepreneurs and	0.5151386
61620_200811-428235-01	23112_198406-291288-03	the Turkish and Moroccan residents	Bulgarian families	0.55720127
61620_200811-428235-01	22110_199805-315304-02	the Turkish and Moroccan residents	Croatian citizens	0.49157906
61620_200811-428235-01	42110_201710-18324-02	the Turkish and Moroccan residents	Cuban and Haitian refugees	0.47045922
61620_200811-428235-01	21111_200706-61079-02	the Turkish and Moroccan residents	cypriots	0.50898063
61620_200811-428235-01	61620_198411-412359-03	the Turkish and Moroccan residents	Muslims in Germany	0.46627727
61620_200811-428235-01	21112_201405-82862-02	the Turkish and Moroccan residents	The Iranian people	0.5448451
61620_200811-428235-01	51620_201005-237435-03	the Turkish and Moroccan residents	the Pakistani people	0.5454728
61620_200811-428235-01	41113_200909-145416-02	the Turkish and Moroccan residents	Portuguese people	0.45630693
